"reviewerId","asin","reviewerName","reviewerText","overall","reviewTime"
"","","Kindle Customer","OK, I know you get what you paid for but as someone that works from home and uses several screen and a laptop riser, it's essential my mouse and keyboard work properly. The mouse has been tenpemental from day one (yes I have changed the battery) and in the end I've reverted to using a wired mouse again. But over time the keyboard is now typing wrong characters and even taking me to different websites when I'm in the middle of the form. As I've hardly used it for last few months I'm really disappointed to be replacing so soon. Waste of money.","1.0","26 March 2024"
"","","feferri","The keyboard came faulty since the first days. After few days using it started to get a bug. When I am typing anything the window help function is pressed by itself, which is very annoying, opening zillions of windows. I always have to turn off the keyboard and wait for some seconds. It happens several times. Don't try to save buying this brand, pay some pennies more and get a better brand. I missed the refunding time and now cannot return the item and will have to buy a new one. It is the famous dilemma, you get what paid for...","1.0","9 April 2024"
"","","LLCoolJSmith","Vry dsaintng exrinceas prne o signal drop ot UPDATE: The above was written using my Logitech MK270 Wireless Keyboard, the below was written at work using a wired keyboard (a Lenovo if you’re really interested). I always look at negative reviews such as the one I’m about to give as being the irate ramblings of someone who probably isn’t using the item properly or who has unrealistic expectations of it. This keyboard and mouse set has 1,397 five star reviews at time of writing, it obviously works well for a lot of people and chances are it’ll work just fine for you. However, in my experience it is incredibly poor, disappointing so. I really hoped this would be a decent replacement for a stock wireless keyboard and mouse I got bundled with a PC many, many years ago and which I had persisted with through numerous system replacements. However it isn’t. I can say the mouse works 90-95% of the time, but when the 5-10% failure is sporadic in the midst of the 90% perfect functionality it results in a very jerky experience which makes precision mousework impossible. I get it’s not a ‘high end’ mouse but to clarify, my idea of precision mousework is clicking on the correct player on Football Manager. With this mouse I’m in danger of trying to bid on Troy Deeney and ending up buying Claude Dielna. NOT GOOD (Not least as I’m after a striker rather than a defender with an impressive Instagram account but no footballing ability). I also like to dabble on Photoshop, cutting out a mates face and pasting it into various hilarious places, you know, really highbrow entertainment… again this is almost impossible as even with the magic wand tool on Photoshop the jerky mouse movement means I end up picking up a heck of a lot of background or cutting off my mates ear. The keyboard isn’t quite so annoying as I use it far less, however this is also seemingly prone to fallout of signal. Thankfully the wonders of technology are such that when I google ‘whtv happno Ssa Boye’ it recognises what I want to type and brings me the required results, but this is no thanks to the keyboard itself (as an aside, what DID happen to Susan Boyle?!). The cause of the issues are unknown to me, could be any number of wireless signals bouncing around my house which are affecting the signal from the transmitter to the mouse / keyboard. I perhaps could rearrange my PC set up a bit to stop the interference but in this day and age I expect a wireless keyboard and mouse to work well (as my previous one did) and to not have to place my desktop PC in the ensuite to avoid pesky interference. Overall in the nine months I’ve owned and used this keyboard I can say it has had about ten ‘good days’, the rest has been hair pullingly bad and has put me off the idea of wireless mice and keyboards totally to such an extent the reason I’m on Amazon writing this review is that I’m here browsing wired variants. For what its worth the keyboard looks nice and the mouse is comfortable to use. If, like the 1,397 five star reviewers, you don’t have any negative experience then great, otherwise good luck putting together a squad capable of dominating domestically and on the continent with a bunch of players you had no intention of buying. Also do play Overcooked but use a gamepad or your kitchen will be on fire in no time thanks to the intermittent keyboard controls.","1.0","14 November 2017"
"","","Daisymay","First off, I was annoyed the keyboard came in its own packaging with no external coverage, making a desirable product vulnerable if left on the doorstep.  Second there were no instructions apart from a very basic set-up graphic on the box but no explanation of a row of hot keys - which seemed to be self explanatory but might not have been given the main problem I experienced, and couldn't be disabled. My main gripe was the triggering of a Microsoft Help page every time I used the delete key or control shift, or just when it felt it, opening the same page time after time after time. It was driving me insane, it continued opening pages when I was using social media and even worse overriding personal banking logins.  It ignored Block Pop-Up commands, also the connection occasionally cutout even though the WiFi control box is next to my desk.  In frustration, I've returned to my old wired Logitech keyboard and mouse and it hasn't happened since, so the obvious conclusion is that this is a faulty product. On the plus side it was a dream to set up, literally just plugging in the small toggle to a USB port and activating the batteries.  Being WiFi made my desk so much cleaner and less cluttered but I can't trust that it won't happen again, which is why I'm asking for a refund rather than a replacement.","1.0","17 August 2023"
"","","Markgo","Decided to upgrade my wired keyboard to wireless and chose this based on my experience with my existing wireless logitech mouse. What a mistake. The new mouse works as well as the old one but the keyboard either doesn't connect or lags badly and this is from someone who types slowly! My wife, who is a former journalist  types quickly and complains that for her it is terrible. I have searched online for solutions and tried everything such as moving the transmitter to a front usb port, changed settings on the device manager etc but basically is no good and we are reverting to our old wired keyboard. Not recommended","1.0","2 March 2024"
"","","SL","Didn't want to work, keyboard and mouse both suffered input lag and failed inputs from only a few feet away from the device they were plugged into. Seems to have been an issue with the receiver as they worked when right up close to the computer, but that's hardly an ergonomic or convenient setup! Had to send back for a refund, hopefully a different brand will offer more performance/reliability.","1.0","17 April 2024"
"","","David M","Despite being less than 1m from the pc, it still kept losing connection. When I start typing often nothing happens for a few seconds then a string of characters appears on the screen.....with the earliest characters missing. Spoke directly to Logitech but no improvement. App updated automatically, don't know why they bothered. I know from the user forum that many others have the same problem. BUY THIS AT YOUR PERIL. Unfortunately I particularly like old style mechanical keyboards and until now have been unable to find anything. I'm pleased to say I recently bought a new keyboard and mouse of a different brand elsewhere and it's brilliant. Logitech is in the bin. Best place for it.","1.0","19 February 2024"
"","","Malcolm Loades","I had a problem with the mouse randomly losing the scroll ability but left and right clicks still working.  Also randomly, at different times, the keyboard would lose it's connection anf no key presses would work.  After 4 emails from Customer Service I realised that I wasn't talking to a human at all - it's an AI email bot!  Each communication from them indicated that it had picked up on some words whilst totally ignoring others.  For example in one email I said quite clearly that the combo was only 7 days old, the Customer Service reply was to tell me in great detail how to clean the keyboard and mouse as that might cure the problem.  Never again will I buy a Logitech product.","1.0","2 January 2024"
"","","Hossein Eskandari","Hello guys I have bought 4 of this keyboard in the past 8 years. 2 of them ran into dungle issue after a couple of years. I changed the dongle (old type not unified) and the new dongle again became faulty after a couple of years and since it was expensive to buy the dongle in my country, I literally decided to buy a new one in the UK. I was dumb enough to trust this product's quality for the 4th time. Not to my surprise, this one has an issue with the F1 key that another user also mentioned in the comments as you can see. F1 is super sensetive and sometimes when you press F1 it works for a while. Everything else is good with this product considering its price. I like working with it to be honest. I am just so mad as a customer that has bought this keyboard 4 times, I have to face such basic issues in all of them. I mean surely they know the issue in F1 key. How can two guys in the first 10 review of Amazon see the issue but not Logitech!","1.0","24 August 2023"
"","","Piriya","Bought it urgently but it worked quite well up until recently where the mouse and keyboard just stopped working out of nowhere. i am really upset because now I cannot use my monitor. DON'T BUY IT !!!!","1.0","3 April 2024"
"","","Amazon Customer","How strange... the numbers are reversed on the number pad on the right-hand side of the keyboard. It should have 1, 2, and 3 at the top, but instead has 7, 8, and 9. If I had known this, I wouldn't have purchased this keyboard. It's not intuitive at all, and now I have to look every time I type. Beware!","1.0","13 March 2024"
"","","The Very Angry Maker","Just to let you know my review is based on my experience with the keyboard only and I did not try the mouse.... so just to let you know. It is with regret that I have to give this keyboard a one star review because I have been a loyal user of Logitech keyboard and mice for the last 15 years plus. I have a considerably more expensive Logitech keyboard on which one of the legs / risers has broken and I don't like typing onto a flat keyboard and didn't want to have to spend yet another £70 on a replacement keyboard so thought I would order this set because I thought surely it will work fine as a basic standard keyboard... I was wrong. The set arrived in an attractive blue box containing both the keyboard, mouse and the USB receiver. As I said I didn't even try the mouse just the keyboard. The keyboard does not work with the Logitech Unifying receiver (that came with my other keyboard and again with my mouse) which is strange so had to use the receiver that came with the set. The keyboard only has one height setting that was quite steep even for someone like me that likes a good angle / steepness to my keyboard which make typing on it quite uncomfortable due to the position the keyboard was forcing my wrists into so if like me you are planning to use this keyboard everyday I would look elsewhere for that reason alone. But the complete deal breaker came because the plastic on the riser legs is too thin and they are placed very close to the edges of the keyboard which makes the keyboard act like a wobbly / rocking restaurant table. The keyboard is on a perfectly flat desk it's just a very poor design / cheapness of materials used that causes the issue so can't imagine another one being any different. I understand this is a budget product but I did expect it to at least sit on a desk with no problems but to rock back and forth pretty much makes this keyboard unusable. In desperation I went to my local Tesco and bought one of their own brand keyboards for £5 and it doesn't rock and has a more pleasant typing angle / height..... I am surprised at Logitech putting out such a poorly designed product even at the lower end of the market but I suppose not every product can be a winner. So it's ultimately up to you if you want to roll the dice on this and see for yourself but honestly if you are going to be using this keyboard even for a little bit daily look elsewhere because this one will drive you crazy.","1.0","24 October 2017"
"","","M. Timothy","It's so annoying to buy a product and then not be able to use it because a part is missing. I've used this product before and loved it, the key board is really comfy and the wireless connection saves a lot of wire mess but without the usb it's a waste of time plus the hassle of returning.","1.0","27 February 2024"
"","","Amazon Customer","I don't like it at all. The keyboard randomly presses its own buttons, the keys are lose, and unstable. The mouse intermittently stops working, I wouldn't recommend this product at all.","1.0","13 April 2024"
"","","Jw Taylor","At fist I was pleased with this but the @""'\|\| are in the wrong place.  If it was just 1 character I could live with it but as there are a few it is not workable.  Is there a way to remedy this or shall I have to return it?","1.0","1 March 2024"
"","","Jana","This keyboard has the keys marked out like a UK keyboard, but in testing it I found several keys in the wrong place and marked incorrectly.","1.0","2 April 2024"
"","","Onemanzoo","Clearly been opened then sent back, then sent on to me. Mouse wouldn't turn on and no receiver/transmitterto plug into pc.. useless!.. returning!","1.0","19 April 2024"
"","","chaits","Few keys stopped working, thought I used that completely for office purposed and I have used that for only few months now","1.0","26 March 2024"
"","","J A Hall","Ordered this set for when I work away from home abroad. Therefore did not use it for 3 months, opened it whilst abroad and the USB that should be inside the mouse was missing and therefore the keyboard and mouse was useless.","1.0","10 March 2024"
"","","Ms V A Harry","Keyboard fine, but mouse stopped working after just 4 months.  Back to wired mouse again, which never lets me down.","1.0","12 April 2024"
"","","PD","Do not buy this if you write reports or essays, as you'll find you've been typing away for 5 mins without being connected. It's the most frustrating keyboard I've ever had. My other bluetooth keyboards have worked fine. In fact, I'm using my old one now to type this. It has barely any letters left visible on the keyboard but I prefer it to the Logitech joke.","1.0","4 February 2024"
"","","Imogen","When I received this the mouse was missing from the box. It had clearly been opened. Sent back.","1.0","26 March 2024"
"","","K.Robinson","Had to return due to the keyboard constantly loosing signal and lagging despite being next to the pc, in direct line of sight. Doesn't look like I'm not the only one that's had this issue unfortunately.","1.0","7 March 2024"
"","","Sean","Keyboard kept pressing the F1 key when typing other characters for no reason. Returned it.","1.0","1 April 2024"
"","","N. Payne","no usb receiver in the box, so i ordered a the logitech one, then even using that neither the keyboard or mouse would work. Hope you get better luck in making it work.","1.0","6 March 2024"
"","","Kev McMahon","Where's the Quality controls, if a box has been opened previously then taped, surely it should be picked up somewhere in the process that it needs the contents confirmed?","1.0","6 March 2024"
"","","TBD86","My order contained just a keyboard, in a box that had clearly already been opened. No mouse, no USB receiver. I should have trusted the previous reviews I had read stating the exact same thing, of which there are plenty. Currently going through the returns process but of course, this is nowhere near as simple as it could or indeed should be. Whole experience has been miserable. Can’t tell you how the products perform, never got that far.","1.0","19 December 2023"
"","","Amanda Finch","These arrived and are run on batteries which came already in. There is no manual on connecting these to the laptop/monitor and quite a few of us tried to connect them via blue tooth but both lights on these do not lite up when switch on. Will be contact the vendor for replacements.","1.0","20 January 2024"
"","","S Salvetti","The product was used and the keyboard/mouse  receiver was missing","1.0","2 April 2024"
"","","Rodent Free","Straight out the box I had issues with what I eventually diagnosed as a faulty keyboard. Too late to return to Amazon, the logitech warranty dance leaves me lamenting the day I bought such a cheap keyboard. The problem was that intermittently (as I see other reviewers have also noted) a Google or Edge help page would pop up. No its not malware or a virus, user ownership of helppane.exe, or a registry hack required, it's the keyboard randomly sending F1 commands. Who'd have thought? The keyboard is flimsy and simply flexing it is enough to trigger F1 key press. If you have a similar issue and read this in time, return it. The logitech warranty claim process is painfully long-winded and not worth it for the price of binning the keyboard.","1.0","18 October 2023"
"","","Keith L.","Arrived in good time but mouse faulty","1.0","5 April 2024"
"","","J W LUCAS","Just unboxed this keyboard and mouse to use, part  missing in mouse to link to the computer, also passed by return date,, will bin, item useless.","1.0","4 March 2024"
"","","shailja","This is a little unfair as my problem is it shipped without the dongle in the box/mouse. Hope you have better luck.","1.0","11 March 2024"
"","","Miss Louise Balmforth","This thing is like cheap tat, the keys were sticking within 2 months, the keycaps wearing, it constantly was switching the type mode from insert to overwrite.. The worst keyboard I have ever used in 35 years without a shadow of doubt","1.0","4 February 2024"
"","","Rafae Ahmad","The keyboard is faulty. Keeps pressing random keys. I even tried changing batteries from the ones it came with. I am using with my PS5, the only reason why I bought this for and it’s literally unplayable. Disappointed.","1.0","12 February 2024"
"","","R Campos","The mouse is tiny- like one you would have in your laptop bag. I could live with that but the keybpard would ""go to sleep"" while I was typing, or take ages to wake up again if I was switching windows. It was laggy too which mean that I'd get repeating letters like thissssss. Sent it back.","1.0","7 January 2024"
"","","Tanya","I bought this keyboard and mouse in November and a couple of weeks ago it just suddenly stopped working. Unable to contact anyone from the company. Don’t waste your money!","1.0","18 February 2024"
"","","Alex Findlater Ltd","after one year everyday office using the space stopped working at all. Poor quality","1.0","4 March 2024"
"","","Mr D Mackay","F keys faulty, either don’t work at all, or they stick on.","1.0","26 March 2024"
"","","Leann Butterworth","Poor quality space bar sticks after only 4 months of light use.","1.0","6 March 2024"
"","","Amazon Customer","I am not sure why the connection between keyboard is not great","1.0","6 March 2024"
"","","Heather","Set arrived with no USB port attachment so had to return. Disappointing.","1.0","29 February 2024"
"","","richie(rex)","Cannot give a review because I'm unable to pair to my laptop. No USB reciever inside the packaging. Checked inside the mouse, packaging and nowhere to be found.","1.0","12 February 2024"
"","","Chascarmichael","Well after what seemed like longer the mouse has now given up the ghpst. New battery for both and dead. It is now a deceased mouse......","1.0","13 February 2024"
"","","Natalie","Item broke after only a few months, wouldn’t buy again.","1.0","11 March 2024"
"","","SanaSells","Rubbish keyboard and mouse. My keyboard completely stopped working after 5 months of use! Ive change the batteries but it still doesn’t work","1.0","17 February 2024"
"","","Ricol","Bought this combo to work with Ubuntu Desktop [21.04] running on Raspberry Pi 4 B [8Gb]. First issue was that mouse would only work if it was a couple of feet from the Pi. This was caused by wireless interference and was over come with an USB extension cable. So now, I can sit on my sofa (3m away) and the mouse works fine. However, the keyboard shows no sign of working. It powers up, proven by turning Caps Lock On/Off, but no keys work with the Pi. To test to see if it was faulty, I plugged both into a windows laptop and here the keyboard works [mouse was fine to] but every fifteen characters or so, the key input is automatically repeated a dozen times! Example of what I get when I type : When I type I get somethiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiing like this! This happens on all keys including arrow keys, so its not just a sticky key. And its a pain in the backside when you are entering passwords!! All in all, I wish I hadn't bought this. I primarily wanted something cheap as its not going to see much use and when I read other reviews from people successfully using it on a Raspberry Pi, I thought this is the one for me. I'll give it one last try but if I cant find a solution to get it working with my version of Ubuntu, then I've little choice than to bin it and look for an alternative","1.0","27 May 2021"
"","","Ajai","I bought this product 3 months ago and it was working fine for 2 months. It is now no longer working and the keyboard doesn't connect to the computer, meaning that I had to buy a new one. But never buying this product again!","1.0","3 January 2024"
"","","J.Loppy","I bought one of these to replace my old Dell hard wired keyboard and mouse. It worked fine for a couple of weeks until the keyboard and mouse became intermittent . I tried checking batteries which were absolutely OK and using a different USB socket for the dongle but it continued to play up. So I returned the whole package (keyboard and mouse) to Amazon who very efficiently replaced it with another Logi keyboard and mouse. Everything worked fine for a while but then the old problem reared its ugly head again. The keyboard and mouse (mainly keyboard) became intermittent. It is so frustrating that I have binned the keyboard in a fit of pique and gone back to me trusty old hard wired Dell keyboard. I would not wish anyone to go through the stress and inconvenience I have experienced with this particular Logi package. I cannot recommend this product and strongly suggest looking elsewhere. I have to say Amazon have been marvellous but as I've suffered this keyboard for over the guarantee period they are unable to help me any further.","1.0","10 February 2023"
"","","Andrew Walter","First one of these the mouse didnt work the second the keyboard is akin to an old Bluetooth one with poor connection, sometimes I have to unplug the USB sender and replug it just to be able to type You would expect more from this brand but this is the second package and still poor Do yourself a favour and buy something else","1.0","20 November 2023"
"","","Palindrome","For me: this combo is not Windows 10 compatible, in fact it has caused very serious issues. After installing this combo I had truly horrendous issues which, confusingly, coincided with a Windows Update. It resulted in 6 hours of work on my laptop by Microsoft Technicians. The Windows Update appeared to roll-out an aggressive push by Microsoft to use MS Edge (well documented in geekdom) and which would (randomly) launch MS Edge or Bing 'Get Help On . . . ' webpages that could not be turned off. This resulted in 3 calls to Microsoft Tech Support who eventually removed the HelpPane.exe file that was throwing up the Help Screens. HOWEVER, subsequently, other random pop-ups occurred inside a (non Microsoft) program that I know extremely well. I immediately removed the new Logitech 270 keyboard and mouse and replaced them with older (worn out) ones: the problem went away. So I did some tests with the old Logitech wireless mouse and wired keyboard which pointed to the Logitech Unified Transmitter and the Mouse as being the problem. All of my Microsoft Edge / Bing / HelpPane.exe problems were a result of using a new Logitech 270 Combo. The culprit is the mouse which triggers random events that can result in a computer being filled with unwanted screens that can only be removed using Task Manager. The wireless keyboard initially appeared to be reliable; however, it (over a few hours) stopped linking. Throughout the repairs Microsoft Techs were very good indeed. Downloading or refreshing drivers might fix the problem, but my past experience is that Logitech are dilatory in updating drivers.  When I tried to find new drivers I found none that Windows wanted to use. I strongly recommend not using this combo on a Windows 10 computer.","1.0","21 December 2019"
"","","Robbie Shields","After just over 4 months of very light use the keyboard has become defective and developed a bad stutter so that only the occasional letter or number typed will appear on the screen rendering t useless.","1.0","12 January 2024"
"","","M Bennett","I've been using Logitec M185 mice for years.  They're on the small side but they're still comfortable, lightweight and rock solid.  I middle click a lot (constantly manipulating a 3d viewport for a living) and their only weakness is the middle button (scrollwheel) click and I'll kill it within 18 months.  I consider this fair use. Problems then: 1) Wireless connectivity wouldn't work with the receiver in the back of the PC -- back there it is right next to other USB devices, the video port and the RJ45 network wire but the original mouse receivers have all worked well where this one wouldn't.  It's not a big deal to use a USB port on the front of the PC but they already had their uses.  I tried updating the firmware (just in case) but the updater even find it's own receiver! 2) The keyboard is a nightmare and it's probably going in the bin soon.  The 'Enter' key on the numpad doesn't register unless it's hit at the top or really whacked.  It's entirely possible to hit the lower half of the key and hear all the correct mechanical keypress sounds without it registering.  This is making any data entry a nightmare and I feel I'm only one unregistered keypress away from a very expensive mistake.  I'm not sure I where I would stand returning as faulty because the key works if it's hit in the 'right place' and I doubt a replacement would act any differently.  I should post a video to show how unresponsive this key is.  You honestly wouldn't believe how many solid keypresses it takes to register one hit.","1.0","19 March 2020"
"","","carly d.","Item came without the USB device. The thing that’s needed so the keyboard and mouse work!","1.0","10 February 2024"
"","","Cameron Dabbs","Product is slow. The mouse jumps around the screen. Keyboard doesn’t actually type initially.","1.0","5 February 2024"
"","","Dave","The item supplied had obviously been used before as the vital usb wireless connector was missing and batteries were already inserted. Not good when it was given as a gift","1.0","29 December 2023"
"","","gary lamph","There is no where to contact the seller once bought to request replacement item mouse works but keyboard keeps losing connection please can you contact me and advise a resolution","1.0","10 January 2024"
"","","Danny McL","Surprisingly poor quality for a Logitech item. Did not work out of the box, and yeah I fitted batteries.","1.0","9 February 2024"
"","","Rebecca Crosby","Why have i been credited £.038 and not the full value of £20.38","1.0","11 February 2024"
"","","Henny Penny","Ordered this on 19th August.  In October started to cause help pages to radomly open.  At first I thought this was the laptop as was having a few issues with it.  New laptop and it does the same - just randomly opens help pages for whatever programme your using.  Disconnected the wireless dongle and problem stopped so I know its not the laptopn.  Cannot even send this back under warranty.  Very disappointed and total waste of money.","1.0","24 October 2023"
"","","Trudi Old","This came without the receiver - so useless! Missed returns window also!","1.0","15 February 2024"
"","","Reading Babe","I couldn't get the keyboard or mouse to work!  I even replaced the batteries!  Trouble is I've got rid of the box to return it!!","1.0","8 January 2024"
"","","Marcello","I'm dropping the rating from 4 to 1 star. A few weeks after buying this, it started acting up. It works only if I hold it close to the computer. I replaced the batteries, I updated the drivers, I updated windows, I installed logitech's own software. Nothing helps. Maybe there is some interference with another signal. The keys just stop working completely. ---------------- I love the sleep button. Do you see those 8 grey buttons on top? The second from right is the sleep button. Instead turning off the computer I leave it in sleep because it wakes up much faster. Therefore the sleep button is important but hard to find on keyboards. Do you see that on/off button on the right next to the Logitech logo? That one is useless. Why would anybody use that? It means if you turn off your keyboard every night you can save about 10p per month. So what? Why would I care? The keyboard works with 2 AAA batteries which are included. Build quality is very good. I had bought the same keyboard many years ago, maybe in 2008 and since then the quality has improved. The keys feel more solid and don't wobble around as much. The keyboard model says K270 under it. I don't like the mouse though. The mouse is too small. I hate reviewers who say small or big without any measurements. So, let me be specific. Mouse dimensions are length: 99mm, width: 60, height: 38. The mouse model is M185. It works with a single AA battery which is included. In comparison my old Logitech M100 mouse which is already small is 113/62/38mm. It does make a difference. This mouse is too small to use. I absolutely can't use it. That means I paid only for the keyboard. Therefore I give it 4 stars. If I knew I can't use the mouse, would I buy just the keyboard? Probably not because currently this item is £19.99 and just the keyboard is £18.99. You only save £1. Think of it as a backup mouse for £1.","1.0","9 June 2015"
"","","Uni student","I bought it after such great reviews and from my friends and people here. It worked for a bit and then stopped working entirely. Both mouse and keyboard and no it’s not the Bluetooth usb. They both stopped working. And not so compatible either. Too big to carry in a 50L bag even. It looks appearance wise quite basic but otherwise passable really. A pretty overpriced low quality keyboard and mouse.","1.0","26 October 2023"
"","","smillie","Mouse missing, box damaged so returned for refund/replacement","1.0","8 February 2024"
